x,y
1,0.01315706490729629
2,-0.009656100636193947
3,-0.003759891997692045
4,0.0025609362932474404
5,-0.0021950197448216504
6,0.0014907387137539114
7,-0.010226524946698005
8,0.009190634269291764
9,-0.00207221609220484
10,-0.00648262151986646
11,-0.006676853368874229
12,0.010093407637250622
13,0.005779574002460924
14,-0.008731057565927583
15,-0.002868361996948905
16,-0.00989214763698783
17,-0.00775116188297647
18,-0.00779447819331465
19,0.005049194050175439
20,0.015210651801106805
21,-0.011815974742929907
22,-0.01749193702669872
23,0.004872787890310222
24,0.009639711546971184
25,-0.016178286345545242
26,0.01089271991447018
27,0.0033858771987551398
28,-4.992828096621948e-4
29,-0.0011449445107014808
30,0.005898034280277362
31,7.261348473166436e-4
32,-0.010352974135150747
33,0.00585560872994908
34,0.003274974632275068
35,0.014434416656202927
36,0.007305129699575053
37,0.0011306808689931442
38,0.0038771483756615092
39,0.008557783987920346
40,0.0037809694536874577
41,0.022059208736831173
42,0.03474185879580351
43,0.024725216310109606
44,0.039453682767567715
45,0.03275435695014086
46,0.05117607074694103
47,0.06111432199498085
48,0.05098727679920086
49,0.04332197105970913
50,0.07341212198751747
51,0.08725934237381058
52,0.09556612935125687
53,0.0913725450847034
54,0.1047891776997627
55,0.1640346913827403
56,0.21941684101241057
57,0.38806208036413853
58,0.42358640978759254
59,0.435272369963236
60,0.4392759678072453
61,0.4505640288350845
62,0.48166397900787794
63,0.48703704148393495
64,0.6979516532670541
65,0.7508868115678182
66,0.7496215724020917
67,0.846028848732878
68,0.8452425469126429
69,0.8452712489051144
70,0.8789307216231211
71,0.9044463130404182
72,0.9130762469533059
73,0.9368181770230183
74,0.9968600636822039
75,0.9734029045733117
76,0.9952782437748376
77,0.989966316286886
78,1.0160158076303885
79,1.0132494115472028
80,0.9977267793711272
81,0.9945013572894981
82,0.9927388242276267
83,0.9961931911678396
84,0.997444523952509
85,0.9961717191122379
86,1.015867899279926
87,1.0144802227235263
88,1.0035471728097287
89,1.0187499535607614
90,0.985882896464922
91,1.0052266292144665
92,1.0036964059838487
93,1.012365020319716
94,0.9962829989376296
95,1.002870969453959
96,1.0016922783828448
97,1.015299257566201
98,1.0077366377253203
99,0.9809722128648233
100,0.9973003812440857
